from,to,symbol,date,quantity
utopis,pixresteemer,HIVE,2021-03-15,8.303
utopis,kingneptune,HIVE,2021-03-15,3.321
utopis,poetchick4jesus,HIVE,2021-03-15,0.012
utopis,quinnertronics,HIVE,2021-03-15,0.074
utopis,khan.dayyanz,HIVE,2021-03-15,12.454
utopis,aiovo,HIVE,2021-03-15,0.34
utopis,rahul.stan,HIVE,2021-03-15,1.116
utopis,oivas,HIVE,2021-03-15,0.895
utopis,numanbutt,HIVE,2021-03-15,0.277
utopis,miketr,HIVE,2021-03-15,4.982
utopis,moonthumb,HIVE,2021-03-15,0.166
utopis,mfblack,HIVE,2021-03-15,18.98
utopis,mpath,HIVE,2021-03-15,0.277
utopis,melinda010100,HIVE,2021-03-15,2.333
utopis,myfreebtc,HIVE,2021-03-15,0.277
utopis,myvest,HIVE,2021-03-15,37.638
utopis,melbourneswest,HIVE,2021-03-15,2.214
utopis,netaterra,HIVE,2021-03-15,185.7
utopis,adhammer,HIVE,2021-03-15,0.371
utopis,meesterboom,HIVE,2021-03-15,5.535
utopis,nickyhavey,HIVE,2021-03-15,2.768
